ElapsedTime,Epoch,BestGene0,BestGene1,MaxDistanceTravelled,AvgDistanceTravelled
5.01243,1,358,3,7.964998,3.542855
10.02026,2,358,41,8.722279,4.729481
15.024,3,345,41,7.539091,4.639318
20.03895,4,345,41,7.555143,5.948427
25.04179,5,345,202,8.592734,7.163768
30.04571,6,350,41,7.681541,7.130319
35.04809,7,350,41,8.533091,8.242868
40.05468,8,350,41,8.533091,8.136437
45.05788,9,350,41,8.533091,8.322841
50.06083,10,350,41,8.561101,8.491092
55.06397,11,350,41,7.818157,7.419209
60.068,12,350,41,8.533091,8.398504
65.07113,13,350,41,8.533091,8.474376
70.07442,14,350,41,8.533091,8.533089
75.07733,15,350,41,8.533091,8.533089
80.09602,16,350,41,8.561101,8.353951
85.10249,17,350,41,8.221519,8.221519
90.11155,18,350,41,7.818888,7.715121
95.12296,19,350,41,8.561101,8.561098
100.1278,20,350,41,8.533091,8.533089
105.1376,21,350,41,8.533091,8.533089
110.1399,22,350,41,8.561101,8.561098
115.1538,23,350,41,7.818888,7.818881
120.1593,24,350,41,8.533091,8.533089
125.1637,25,350,41,8.561101,8.561098
130.1721,26,350,41,8.533091,8.533089
135.1809,27,350,41,8.561101,8.439547
140.1874,28,350,41,8.533091,8.300603
145.1909,29,350,41,8.533091,8.533089
150.1958,30,350,41,8.533091,8.436512
155.2097,31,350,41,8.561101,8.477812
160.2126,32,350,41,8.533091,8.533089
165.2162,33,350,41,8.533091,8.533089
170.2267,34,350,41,8.561101,8.464409
175.2381,35,350,41,8.533091,8.469543
180.2414,36,350,41,8.533091,8.533089
185.2482,37,350,41,8.561101,8.48006
190.251,38,350,41,8.533091,8.533089
195.2543,39,350,41,8.533091,8.533089
200.2703,40,350,41,8.561101,8.446815
205.2735,41,350,41,8.533091,8.533089
210.2767,42,350,41,8.533091,8.533089
215.2801,43,350,41,8.533091,8.533089
220.2936,44,350,41,8.561101,8.476364
225.2972,45,350,41,8.533091,8.533089
230.3016,46,350,41,8.533091,8.533089
235.3131,47,350,41,8.561101,8.561098
240.3298,48,350,41,8.561101,8.398151
245.3414,49,350,41,8.533091,8.533089
250.3429,50,350,41,8.533091,8.533089
255.3615,51,108,59,2.46191,1.276865
260.3637,52,350,41,8.148617,7.704679
265.3708,53,350,41,8.561101,8.561098
270.378,54,357,134,8.827549,8.497841
275.3788,55,357,41,8.675837,8.53838
280.3849,56,357,134,8.827549,8.541413
285.3925,57,357,134,8.863212,1.732434
290.3968,58,357,134,8.827549,8.076138
295.4105,59,357,134,8.863212,8.577438
300.4204,60,357,134,8.827549,8.443667
305.4261,61,357,134,8.827549,8.174865
310.4405,62,357,134,8.863212,8.552408
315.442,63,357,134,8.827549,8.658321
320.445,64,350,134,8.654865,8.541206
325.4552,65,350,134,8.689827,8.689822
330.4659,66,350,134,8.654865,8.654868
335.4695,67,350,134,8.689827,8.369745
340.473,68,192,319,4.653947,3.514571
345.4763,69,350,134,8.654865,8.493299
350.4804,70,350,134,8.654865,8.55455
355.4958,71,350,134,8.689827,8.689822
360.4977,72,350,134,8.654865,8.654868
365.5012,73,350,134,8.654865,8.583538
370.5064,74,350,134,8.654865,8.654868
375.5105,75,350,134,8.689827,8.413902
380.5155,76,350,134,3.491318,3.491318
385.5197,77,350,134,8.654865,8.654868
390.5226,78,350,134,8.654865,8.536949
395.5302,79,350,134,8.654865,8.654868

