ElapsedTime,Epoch,BestGene0_CurEpoch,BestGene1_CurEpoch,MaxDistanceTravelled_CurEpoch,AvgDistanceTravelled_CurEpoch,BestMaxDistance_Run,BestBotGene0_Run,BestBotGene1_Run,GenerationOfBestBot
5.008049,1,343,19,8.516471,3.72113,8.516471,343,19,1
10.02152,2,351,226,8.537569,5.687536,8.537569,351,226,2
15.11854,3,351,226,8.82852,6.533566,8.82852,351,226,3
20.14127,4,351,281,8.523989,5.393824,8.82852,351,226,3
25.15379,5,351,19,8.774911,6.919135,8.82852,351,226,3
30.17277,6,351,19,8.743401,6.959095,8.82852,351,226,3
35.18805,7,351,19,8.809975,7.637331,8.82852,351,226,3
40.20568,8,340,19,8.478562,7.523647,8.82852,351,226,3
45.21373,9,340,19,8.444644,7.731068,8.82852,351,226,3
50.23235,10,340,19,8.53444,7.958638,8.82852,351,226,3
55.23853,11,340,19,8.500478,8.126348,8.82852,351,226,3
60.24207,12,340,19,8.53444,8.319889,8.82852,351,226,3
65.26286,13,340,19,7.184875,7.184875,8.82852,351,226,3
70.27995,14,340,19,0.4698417,0.4698415,8.82852,351,226,3
75.30303,15,340,19,8.568402,8.458548,8.82852,351,226,3
80.30698,16,340,19,8.404787,8.404786,8.82852,351,226,3
85.31561,17,340,19,8.500478,8.500481,8.82852,351,226,3
90.31579,18,340,19,8.500478,8.500481,8.82852,351,226,3
95.33848,19,340,19,8.53444,8.534446,8.82852,351,226,3
100.3596,20,340,19,8.43858,8.438577,8.82852,351,226,3
105.38,21,340,19,1.476383,1.285097,8.82852,351,226,3
110.4306,22,340,19,8.506163,8.416307,8.82852,351,226,3
115.4463,23,340,19,8.53444,8.534446,8.82852,351,226,3
120.4543,24,340,19,7.985179,7.985177,8.82852,351,226,3
125.4918,25,340,19,8.568402,8.568398,8.82852,351,226,3
130.502,26,340,19,8.43858,8.438577,8.82852,351,226,3
135.5046,27,340,19,8.444644,8.307442,8.82852,351,226,3
140.5376,28,340,19,8.53444,8.534446,8.82852,351,226,3
145.5448,29,340,19,1.52195,1.250069,8.82852,351,226,3
150.5595,30,340,19,8.500478,8.500481,8.82852,351,226,3
155.5612,31,340,19,8.53444,8.402121,8.82852,351,226,3
160.5886,32,340,19,7.181492,7.181489,8.82852,351,226,3
165.611,33,340,19,1.357726,1.357726,8.82852,351,226,3
170.6145,34,340,19,8.500478,8.500481,8.82852,351,226,3
175.6239,35,340,19,8.53444,8.534446,8.82852,351,226,3
180.6583,36,340,19,8.477284,8.318667,8.82852,351,226,3
185.6767,37,341,31,8.507282,0.7285658,8.82852,351,226,3
190.6789,38,340,19,8.500478,8.222288,8.82852,351,226,3
195.6979,39,340,19,8.53444,8.413237,8.82852,351,226,3
200.7149,40,340,19,8.53444,8.534446,8.82852,351,226,3
205.7299,41,340,19,8.53444,8.534446,8.82852,351,226,3
210.7489,42,340,19,8.53444,8.534446,8.82852,351,226,3
215.7551,43,340,19,1.168421,1.168422,8.82852,351,226,3
220.756,44,165,77,1.640659,1.048837,8.82852,351,226,3
225.7607,45,340,19,8.53444,8.406226,8.82852,351,226,3
230.7677,46,340,19,8.444644,8.338766,8.82852,351,226,3
235.7821,47,340,19,8.477284,8.20503,8.82852,351,226,3
240.7856,48,340,19,8.444644,8.444642,8.82852,351,226,3
245.7921,49,340,19,8.444644,8.307049,8.82852,351,226,3
250.8026,50,340,19,8.53444,8.534446,8.82852,351,226,3
255.816,51,340,19,7.269838,7.269837,8.82852,351,226,3
260.8291,52,340,19,1.499326,1.307145,8.82852,351,226,3
265.8394,53,340,19,1.281254,1.264454,8.82852,351,226,3
270.8593,54,340,19,8.53444,8.485813,8.82852,351,226,3
275.8639,55,340,19,8.53444,8.396528,8.82852,351,226,3
280.8751,56,340,19,8.445934,8.28834,8.82852,351,226,3
285.8865,57,340,19,8.53444,8.534446,8.82852,351,226,3
290.9148,58,340,19,8.478562,8.346345,8.82852,351,226,3
295.9345,59,340,19,8.53444,8.42844,8.82852,351,226,3
300.9505,60,340,19,8.43858,8.438577,8.82852,351,226,3
305.9593,61,340,19,8.500478,8.500481,8.82852,351,226,3
310.9794,62,311,14,7.804009,1.96035,8.82852,351,226,3
316.0094,63,340,14,8.563837,1.41728,8.82852,351,226,3
321.0145,64,340,19,8.500478,8.465852,8.82852,351,226,3
326.0235,65,340,19,8.53444,8.534446,8.82852,351,226,3
331.0395,66,340,19,8.500478,8.500481,8.82852,351,226,3
